time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel,label
284.88384949998,37,40,715050,125260,25994,11794,27786,21041,6648,5767,0,0,-1
286.8870618999936,17,41,1163238,76062,13233,14553,6570,10180,3822,3431,0,0,-1
288.8894484000048,14,47,706597,42108,6686,17831,3436,4830,4155,1743,0,0,-1
291.8919005000498,20,64,196733,44946,40847,1856,8177,9210,6694,4582,0,0,-1
293.8952790000476,20,77,773667,70212,19711,21818,2957,14716,5064,4509,0,0,-1
294.89715309999883,20,57,674817,149936,4893,10068,18578,15201,12610,6404,0,0,-1
297.9019557000138,20,60,351136,30142,11480,9683,8882,3292,1910,1541,0,0,-1
298.9037552999798,23,48,412169,175764,39900,18639,13408,39280,21482,17731,0,0,-1
299.905498099979,27,41,510731,115552,31964,17422,20469,49008,9567,14371,0,0,-1
301.9076967999572,20,41,596259,224497,10112,8823,7976,7296,5904,5281,0,0,-1
304.91158820001874,23,17,372123,124579,9467,5616,18298,14011,6509,3479,0,0,-1
305.9139361999696,17,13,1021739,251877,20610,35912,21655,26468,12179,22090,0,0,-1
307.91688709997106,8,16,978767,35178,13159,2710,6426,3848,3179,2758,0,0,-1
310.9200430000201,17,35,750802,239728,64230,38573,37638,39679,12600,23296,0,0,-1
311.9230284000514,16,37,716962,475245,17090,45957,15651,42521,18867,12438,0,0,-1
312.92458690004423,13,63,831072,153710,190711,29490,7991,18464,33509,18391,0,0,-1
313.92635760002304,7,48,809681,325900,14293,24333,21500,14062,20599,5901,0,0,-1
314.92785950005054,8,48,247280,195943,71213,23087,29447,43689,17553,6510,0,0,-1
315.9288863999536,8,54,414092,202122,2299,45600,12295,19474,13724,10044,0,0,-1
317.93238280003425,14,40,266339,22321,7501,11359,16196,5607,4707,5896,0,0,-1
319.9348312000511,29,64,599117,42947,42602,11456,20903,18460,11222,3467,0,0,-1
320.9362898999825,17,51,383013,139518,12842,6529,18426,5122,5815,1786,0,0,-1
322.9399625000078,17,41,139589,39927,1554,2448,3174,3233,1284,1031,0,0,-1
326.9450945999706,16,38,2228416,140968,39107,22918,30274,20116,7255,9186,0,0,-1
327.9464565999806,11,26,1175926,113477,28677,8662,10195,17485,23333,16293,0,0,-1
328.9475273999851,24,43,723436,113112,30533,43180,19563,27092,16949,13938,0,0,-1
330.94952799996827,26,43,397375,300884,27480,9300,57750,35223,34714,5831,0,0,-1
331.9508506000275,26,27,3576579,404083,36944,18510,42210,44328,21473,7879,0,0,-1
332.9527602000162,21,24,727359,107561,5032,23380,7588,7889,3252,3455,0,0,-1
334.9563857000321,20,23,352126,28673,12963,8419,21311,6399,4620,2314,0,0,-1
335.9578604999697,21,43,1092809,34807,9923,6063,2983,6527,6910,1909,0,0,-1
336.959514599992,23,57,1199661,150001,56066,12942,26027,24518,13556,22206,0,0,-1
337.96076090005226,29,64,736160,106792,2219,53290,17772,23809,17154,10507,0,0,-1
340.9639766999753,37,78,119301,10290,16107,16519,9207,11731,2740,2669,0,0,-1
342.96624880004674,43,84,406230,62989,26945,55659,28252,32607,22205,12776,0,0,-1
344.969039699994,43,90,484704,146865,86019,22401,34468,27103,12533,12431,0,0,-1
346.9724837000249,50,96,1187542,17744,17360,4700,8712,11230,3715,5630,0,0,-1
347.97381470003165,30,63,898334,313145,20133,7405,9972,10350,7598,4159,0,0,-1
350.9770028999774,20,41,1726104,643754,14927,75367,75648,46287,47697,13021,0,0,-1
351.97947609995026,17,17,1102609,136533,5194,10082,6973,13178,4602,1624,0,0,-1
352.9814179999521,34,1,64340,24458,6340,4362,4671,53998,6540,19013,0,0,-1
353.983577099978,38,21,77498,119919,58157,10740,8785,10589,6766,3432,0,0,-1
354.9843621000182,44,38,409844,76852,34646,10650,20549,15201,13753,7147,0,0,-1
358.98867490002885,50,61,117033,6866,3875,2345,3016,1881,1397,1015,0,0,-1
361.9929025999736,24,74,73922,24355,6320,3858,1191,3556,2640,411,0,0,-1
362.99461369996425,30,70,238637,35132,13046,5709,7407,6570,6736,2778,0,0,-1
364.9973063999787,41,78,822496,32416,45143,8476,9935,34812,46779,8250,0,0,-1
367.0001843000064,30,69,191600,159103,35357,11946,7313,8646,4651,2070,0,0,-1
368.00137940002605,34,66,1441661,226272,63691,28632,66828,39500,37529,10454,0,0,-1
371.0042716000462,35,60,188487,111706,18259,13450,11740,20451,2732,4067,0,0,-1
373.006385799963,16,43,1443372,320468,53226,12826,15014,19515,7362,6303,0,0,-1
374.0092684000265,20,47,2077298,71036,22788,9331,20634,5720,14141,9140,0,0,-1
375.0116168999812,16,48,1383779,505320,121650,80530,36155,58443,13252,25059,0,0,-1
379.0175654999912,10,40,900956,505164,61759,25544,20912,36262,15044,19471,0,0,-1
380.0187047000509,11,30,949053,102707,9883,14950,5439,9652,7550,4587,0,0,-1
382.0205732999602,8,26,59392,24669,3439,2961,3687,1821,1037,1039,0,0,-1
386.0284192999825,17,38,2121911,146571,47654,57129,36568,46801,32223,17145,0,0,-1
389.0327009999892,17,48,2027364,421763,128973,15200,32009,34199,20927,7610,0,0,-1
391.0346094999695,20,53,289654,121465,40109,7574,16951,13551,4521,2728,0,0,-1
394.03852910001297,23,50,906681,62555,7274,7321,22362,7565,3060,1671,0,0,-1
395.0403194000246,13,41,610175,253735,38209,25178,7724,15575,11668,7150,0,0,-1
396.0424098999938,17,56,879674,139578,105663,68811,22890,33417,47336,14513,0,0,-1
399.04608829994686,23,50,362068,43142,4463,5266,1389,6972,8829,2685,0,0,-1
400.0474536999827,21,53,849133,178752,28943,19559,30680,16565,11065,18473,0,0,-1
401.04880160000175,27,63,529297,108723,39568,25623,8531,20075,12878,5502,0,0,-1
402.0499941000016,37,61,39859,27390,35453,12248,12687,20820,30714,9114,0,0,-1
404.0526825999841,26,57,338416,89430,6373,8852,12460,4325,3278,2471,0,0,-1
405.054931199993,40,67,35053,21993,22882,7425,18870,20787,17765,15314,0,0,-1
407.05898219998926,37,61,816494,324821,83367,29808,44344,29036,20362,11762,0,0,-1
409.0612933000084,34,35,1817147,149971,11561,12265,44893,30994,17530,19016,0,0,-1
410.0624805999687,40,56,485202,145137,138463,18828,27759,29018,7708,10412,0,0,-1
411.0639951999765,23,54,294152,37791,9991,9422,10553,3281,3353,3144,0,0,-1
415.0692280000076,26,53,134487,33223,5298,5873,3878,4826,1212,1328,0,0,-1
416.0717313999776,37,75,11632,13928,8422,14620,9700,20921,11494,6429,0,0,-1
417.0739830000093,40,64,205118,26270,5969,6465,2822,5417,10745,2329,0,0,-1
418.07591480005067,54,78,202589,13927,18180,19111,8168,15924,8314,9246,0,0,-1
420.0787066000048,57,78,1782879,132320,31739,15805,18054,26918,10757,8679,0,0,-1
421.0802178999875,43,69,576066,107075,11666,29288,6984,15733,10509,15082,0,0,-1
422.08258709998336,51,70,152722,19617,7414,6591,4746,12270,1283,2907,0,0,-1
423.0843036000151,37,51,566728,62782,9112,7287,11268,4936,2320,2632,0,0,-1
424.0857976999832,24,30,145345,425321,7109,17696,32211,21685,24848,12540,0,0,-1
425.0882634000154,20,30,946688,356130,70801,41433,22595,27162,14132,16659,0,0,-1
428.09190410003066,23,56,149211,161961,50425,31547,21059,23241,8385,16122,0,0,-1
429.093252700055,24,78,332559,68403,14486,7238,6936,5699,3358,2378,0,0,-1
431.0953362999717,29,84,530502,234606,121247,22725,25233,36706,17146,11779,0,0,-1
433.098473399994,17,64,42246,16358,2221,1895,441,1418,1021,1269,0,0,-1
434.09996859997045,27,53,888129,79433,17254,13728,73055,31466,16052,8667,0,0,-1
435.1014109000098,21,40,23316,36651,986,2825,2499,1176,987,213,0,0,-1
436.1034159000265,20,43,1099275,31236,15982,11798,7864,5116,6990,3529,0,0,-1
438.1066521999892,17,30,697589,43911,4483,540,4169,2960,2231,884,0,0,-1
439.1078068000497,1,54,1633428,197632,90116,144091,14121,15104,9738,9109,0,0,-1
442.1111733999569,11,69,583688,51532,12246,6821,8572,8493,5865,5248,0,0,-1
444.11546500003897,4,69,399634,68213,42400,16585,17066,5333,3488,2808,0,0,-1
