time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
90.96913610000001,56,48,303234,6558,5020,3277,1106,913,470,302,0,0
91.97198979999996,34,29,422439,119970,12346,8214,1558,7614,7012,2772,0,0
92.97873579999998,26,35,33775,40745,10598,21295,3162,7775,8388,4206,0,0
95.99124269999993,43,43,122487,49316,11292,12994,6264,7451,5926,7607,0,0
96.99233930000003,51,35,23117,32468,12335,6116,7223,6438,3472,3268,0,0
97.99483810000004,69,51,4139,7052,994,10404,3086,3870,1496,1425,0,0
98.99594519999994,69,44,21424,24421,4524,10336,10832,4908,5156,3860,0,0
100.00058249999995,53,44,322090,110644,6053,31359,4001,4492,8999,9214,0,0
101.00609539999994,50,41,736229,117566,29861,15460,2578,14715,4904,5835,0,0
102.00957259999996,38,34,711048,190753,35405,43097,20427,23396,17638,9740,0,0
103.01533970000003,29,26,546358,388777,52956,30175,9859,29187,18510,20774,0,0
105.03266889999998,34,23,1462022,1052086,40559,218850,33536,49712,33227,44706,0,0
106.03754189999995,35,37,179600,21051,27546,11536,1890,6899,4907,4239,0,0
109.05102539999996,20,24,303263,265591,14708,15680,7608,7660,12276,19446,0,0
110.05324239999993,44,24,100822,11493,3666,291,2841,9799,3147,4261,0,0
111.05895050000004,77,24,12753,18239,5630,5342,8205,15257,20977,7856,0,0
112.06088690000001,78,16,11993,33981,17796,7137,5977,8894,3615,3021,0,0
113.07108319999998,100,43,13951,4636,6219,10202,3160,4532,4664,3496,0,0
114.0837732,74,51,26392,42026,15682,9585,9186,3096,2849,3547,0,0
115.08796180000002,50,51,905296,317795,61996,21787,37902,30501,24275,6452,0,0
116.09400229999994,41,37,242089,36123,4241,1604,7806,2868,1967,2249,0,0
117.10116449999998,26,14,77522,34723,5449,1658,5311,2448,1669,1381,0,0
118.11341549999997,48,16,44792,8201,2527,8051,5608,6006,5641,4976,0,0
121.13259859999994,56,57,22917,8487,13665,19220,2133,4386,5652,3952,0,0
122.1420008,69,64,12672,18349,7947,506,5698,5567,2789,2868,0,0
123.14897959999996,60,54,112681,128404,27466,9939,17741,19747,7283,17758,0,0
124.16082219999998,56,37,862328,193563,26986,12916,93697,17487,18587,20666,0,0
125.16695319999997,43,10,22814,144286,4148,18674,8655,5512,6242,2113,0,0
126.18064730000003,34,13,332570,145127,34031,43418,3623,19150,31078,22863,0,0
127.18513619999999,37,20,39968,44925,21122,6027,7899,10245,18653,4623,0,0
128.1941812,53,30,32266,18987,6639,10866,6636,11291,11302,17178,0,0
129.19739149999998,77,35,19714,34422,4821,3287,5429,8537,8132,6572,0,0
132.2152767,77,37,190189,110799,25704,63643,6407,16357,8575,9263,0,0
133.2303319,78,40,77605,131065,83366,19936,18090,44703,14785,25237,0,0
134.23873700000001,64,27,30792,73893,6631,7441,12853,9109,8743,6634,0,0
135.24214510000002,50,43,43322,17593,10100,8176,5159,2100,1652,2937,0,0
136.24573869999995,56,37,101523,87551,23111,17766,10521,16927,15836,6713,0,0
137.24742519999995,60,27,34419,17310,3233,3708,4443,5198,3544,5612,0,0
138.25345530000004,63,41,13059,35626,11045,14397,5878,8960,2422,3713,0,0
139.26515829999994,48,27,50943,53020,6829,4582,1005,1047,677,771,0,0
140.26649699999996,43,44,8651,13893,4894,30309,4807,4385,2833,4892,0,0
141.2706951,40,56,3801,17573,2745,20235,5464,6458,1335,2636,0,0
144.28788980000002,38,64,39302,20732,16442,19881,2872,6822,1685,1483,0,0
145.2988947,70,63,37763,29474,3564,4831,6764,10460,3796,2984,0,0
146.30001370000002,54,35,396288,343736,12465,20794,19733,9955,6918,5191,0,0
147.31356010000002,40,30,1037168,131260,19020,66654,13412,11051,7059,4880,0,0
148.3191981,38,26,311067,143528,112616,11740,12343,28297,9903,15274,0,0
149.33442059999993,30,44,53705,12064,14233,10955,4383,6454,3409,5402,0,0
150.33730509999998,47,61,16418,37526,11285,14691,4851,6409,3601,4258,0,0
151.3528086,66,61,17013,23274,11620,5819,2510,9721,4523,3297,0,0
152.35661319999997,64,69,35833,14393,10914,26564,3126,4146,4266,3698,0,0
153.36100839999995,66,57,25432,18021,4399,4664,7639,5059,7995,2898,0,0
156.3806419,63,60,605967,64263,64087,31455,47647,11732,4376,5280,0,0
159.38853849999998,47,48,66931,90024,11145,8629,19090,7035,4687,2899,0,0
163.43679069999996,44,34,459652,48591,16951,11044,15727,5980,2409,2103,0,0
164.44161499999996,30,38,992368,23603,11696,7977,9692,2330,2556,2857,0,0
165.4548479,30,29,145231,71324,14168,11249,18209,7561,11636,11376,0,0
166.47030039999993,48,37,48436,53821,12868,12081,1804,7951,14557,9445,0,0
167.47204169999998,74,35,11506,10518,7119,3472,5040,8994,9716,8442,0,0
168.47953329999996,84,51,97777,9690,16646,16668,4083,9532,9021,8211,0,0
170.4857392,90,53,125084,12754,3454,4070,1296,4964,2835,1162,0,0
175.1679451,90,53,719443,10871,6890,4292,24223,12358,1648,1622,0,25
