time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
17.348887099999956,0,0,300833,160727,22262,21624,11565,2752,5906,8227,0,25
18.350574800000004,0,0,21536,10087,17881,15631,2895,7277,2550,1738,0,0
19.352920299999937,0,0,8142,33248,734,11312,1805,2678,1614,2025,0,0
20.354549099999986,0,0,62436,100656,30166,2173,10785,6131,4036,3581,0,0
21.358859800000005,53,40,26515,20823,6666,20127,18134,10122,6625,4863,0,0
22.361295100000007,53,26,25092,75488,8791,6256,9560,7087,4633,4965,0,0
23.362805200000025,60,17,64651,13096,562,5066,2410,2369,371,621,0,0
24.3650212,66,21,9382,35322,33157,3273,6233,8283,7324,6397,0,0
25.36697509999999,70,14,71203,5090,1321,1918,2094,2718,1472,990,0,0
26.36886949999996,63,27,10557,53685,12805,19244,3191,3074,1572,3083,0,0
27.38440789999993,37,24,49441,134459,14185,17454,6481,2978,4959,5022,0,0
28.38589239999999,24,29,60306,33108,33406,18358,5639,3849,4904,2878,0,0
30.388272400000005,1,30,360349,113289,24443,26154,9218,8679,3959,2241,0,0
31.39003589999993,3,38,95935,58316,79296,4823,10167,5250,2131,4319,0,0
32.391996699999936,29,41,11225,22925,5790,3170,2447,4956,2766,1887,0,0
33.3935937,53,29,6457,11401,2903,5844,6211,5800,713,1625,0,0
34.39548739999998,64,48,2293,4720,12528,4992,1733,3139,2414,2629,0,0
35.39777609999999,84,41,36672,7747,5336,5365,4373,3583,2677,1422,0,0
36.399559599999975,90,51,17589,5210,8559,3939,7863,3752,1998,3179,0,0
37.40104329999997,90,50,5148,6087,1758,2873,4438,3247,2923,2211,0,0
38.40360379999993,94,37,5635,10742,10287,3639,8662,5232,1566,1362,0,0
39.40587500000004,74,17,189229,254339,11707,8279,4764,9395,4050,2590,0,0
40.40781859999993,60,23,22598,15078,12873,11135,5942,2916,6217,2191,0,0
41.409398399999986,43,34,6859,14878,3677,10364,3869,2090,8244,1426,0,0
42.41115309999998,34,40,14781,17574,5370,17086,4935,3674,4689,5703,0,0
43.41319209999995,57,51,97972,28690,1224,8611,4114,9728,7620,7276,0,0
44.41498730000001,50,34,94649,35169,2281,4330,1522,1688,912,1040,0,0
45.41634639999995,53,16,106460,22521,1797,1357,586,2377,1193,1586,0,0
46.41831909999996,57,17,6834,3726,8832,623,5221,3552,6574,8728,0,0
47.42035959999998,83,40,3754,752,5556,4940,3418,3225,4661,4090,0,0
48.422282300000006,88,50,28344,15713,684,8603,9818,3664,6016,10093,0,0
49.42404839999995,94,57,30441,11690,5043,8323,4732,4920,3602,2117,0,0
50.42625129999999,81,54,2546,18837,11894,9321,11440,3871,6938,2019,0,0
51.42810320000001,88,41,11255,4114,764,3257,3387,5492,2097,2953,0,0
52.4300882,88,51,13736,9615,10563,6128,5128,4745,2002,1717,0,0
53.4318935,81,50,4077,9031,7319,1441,3922,2539,3888,1270,0,0
54.43369540000003,63,48,436829,221638,128233,18951,28993,9476,7290,9223,0,0
55.435216399999945,44,50,90209,66676,14067,22243,10799,13600,5996,9124,0,0
56.43715769999994,35,34,185727,65680,8150,5167,7843,5872,15344,1548,0,0
57.43920300000002,34,30,232599,11049,3169,2977,2030,1999,2832,925,0,0
58.44177669999999,50,37,3883,9783,12664,2657,2605,2868,4604,3445,0,0
59.44336750000002,43,41,74999,35758,17513,13590,13663,5231,9325,3920,0,0
