time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
114.24364090000017,34,67,6393,17597,4479,2242,12243,10571,8254,3961,0,0
116.25380680000035,37,30,80937,61353,9282,2761,7361,13207,9432,9445,0,0
119.27489839999998,43,41,11231,29916,26328,25320,19000,14981,13892,5337,0,0
120.2765446000003,24,10,97908,33195,1484,2269,2749,1566,3611,1633,0,0
122.29332629999953,1,21,144971,47778,9838,7781,5068,3585,1478,2009,0,0
123.3023702999999,17,16,62381,35742,2661,3580,14814,26339,11405,10178,0,0
124.3091131000001,30,7,21793,8829,2643,5344,7730,7823,13743,6724,0,0
125.31305160000011,38,37,63311,48186,11778,32139,13268,6728,14336,7263,0,0
128.3289681999995,35,41,1285402,376175,130370,20274,32890,11393,2622,7302,0,0
130.34138079999957,23,69,231526,30201,20636,10421,13587,9787,6189,5283,0,0
131.34437009999965,3,56,2166897,392637,30464,38099,54484,26187,16655,6307,0,0
133.36101849999977,3,56,221338,35564,1809,3515,2928,3208,771,438,0,51
136.37870120000025,1,53,189360,22691,5127,6617,1803,1387,1529,488,0,0
137.37989659999948,23,51,78838,36205,12647,12877,31521,12184,2980,2997,0,0
138.38654399999996,23,51,846424,156562,31570,15377,7219,39264,26265,1462,0,25
139.38808530000006,11,54,90717,10093,5740,3241,801,964,707,845,0,0
140.39396599999964,16,60,384996,180153,24143,19120,14500,19229,15433,9299,0,0
141.40462070000012,23,61,1124649,299255,95262,91283,20049,30018,14838,11626,0,0
142.41989579999972,24,77,36170,5910,5945,3410,2363,3456,3593,1269,0,0
143.43590940000013,29,48,1392795,103532,6333,8986,3474,9640,2048,1873,0,0
145.45367400000032,21,53,595460,210533,56405,9128,14558,12277,10728,8925,0,0
147.46682169999985,38,24,86063,19087,976,977,1198,6699,2128,10428,0,0
150.4788198999995,53,3,62923,6943,10161,3506,45037,21106,23391,30795,0,0
151.48462850000033,70,24,20228,14078,2471,17369,5016,17690,11521,18414,0,0
152.49544830000013,83,24,8668,49320,7473,8302,6858,8665,19196,8070,0,0
153.49806199999966,80,50,17310,26353,13916,5948,3771,11539,9501,6805,0,0
154.50676790000034,56,56,268941,246979,76392,20061,22642,31559,17393,8740,0,0
156.51044920000004,40,50,346766,87159,7375,34399,21037,13295,10245,13930,0,0
157.51421440000013,40,60,608742,271387,160523,74153,101774,65552,34572,21855,0,0
